time,e1,e2,r1,r2,tau1,tau2
0.80506706,0.4753877,0.16078351,2.395452,0.9636587,6.5013423,3.5427532
0.81006753,0.47786152,0.16239473,2.3914027,0.9714813,6.5535593,3.5731626
0.81506795,0.48026562,0.16401272,2.3868403,0.97943884,6.602915,3.6027567
0.82006836,0.48259878,0.16563804,2.3817716,0.9875242,6.649375,3.6314878
0.8250688,0.4848597,0.16727121,2.3762016,0.99573106,6.69291,3.6593099
0.8300692,0.48704767,0.16891265,2.3701382,1.004054,6.733494,3.6861749
0.8350696,0.4891615,0.17056279,2.3635867,1.0124884,6.7711024,3.7120378
0.84007,0.4912001,0.17222203,2.3565516,1.0210311,6.805716,3.7368543
0.8450704,0.493163,0.17389072,2.3490407,1.0296798,6.8373213,3.760582
0.85007083,0.495049,0.17556918,2.341057,1.0384328,6.8659024,3.7831779
0.85507125,0.49685705,0.17725775,2.3326044,1.0472903,6.8914485,3.8046029
0.86007166,0.49858665,0.17895676,2.323688,1.0562532,6.9139543,3.8248198
0.8650721,0.5002371,0.18066654,2.314312,1.0653231,6.933415,3.8437932
0.8700725,0.5018077,0.18238738,2.30448,1.0745032,6.9498286,3.861489
0.8750729,0.5032977,0.18411961,2.2941952,1.0837972,6.9632006,3.8778794
0.88007337,0.5047065,0.1858636,2.2834601,1.09321,6.9735312,3.892934
0.8850738,0.5060333,0.18761969,2.2722774,1.1027472,6.9808273,3.9066274
0.8900742,0.5072776,0.18938822,2.2606492,1.1124151,6.985099,3.9189363
0.8950746,0.5084388,0.19116965,2.2485778,1.1222212,6.986355,3.92984
0.900075,0.5095165,0.1929644,2.2360654,1.1321737,6.984615,3.9393225
0.90507543,0.51050997,0.19477293,2.2231138,1.1422808,6.9798913,3.947367
0.91007584,0.5114187,0.19659573,2.209724,1.1525517,6.9722023,3.95396
0.91507626,0.5122423,0.19843334,2.195898,1.162996,6.9615707,3.9590926
0.92007667,0.5129802,0.20028633,2.1816373,1.1736238,6.94802,3.9627566
0.9250771,0.51363206,0.20215529,2.166943,1.1844454,6.9315743,3.9649456
0.9300775,0.51419735,0.20404094,2.1518168,1.1954715,6.912263,3.9656582
0.9350779,0.5146756,0.20594388,2.1362598,1.2067127,6.890115,3.9648917
0.9400783,0.5150665,0.20786491,2.1202736,1.2181804,6.8651643,3.9626503
0.94507873,0.51536953,0.20980474,2.1038597,1.2298852,6.8374414,3.9589338
0.9500792,0.51558447,0.21176425,2.0870197,1.2418385,6.806987,3.9537506
0.9550796,0.51571095,0.21374425,2.0697558,1.254051,6.773837,3.9471078
0.96008,0.5157486,0.21574557,2.05207,1.2665335,6.7380347,3.939016
0.96508044,0.5156969,0.2177692,2.033963,1.2792969,6.6996174,3.929484
0.97008085,0.51555574,0.21981609,2.0154386,1.2923514,6.6586356,3.918529
0.97508126,0.5153247,0.2218872,1.9964982,1.3057072,6.6151314,3.9061632
0.9800817,0.51500344,0.22398356,1.9771448,1.3193741,6.569152,3.8924038
0.9850821,0.51459193,0.22610629,1.9573823,1.3333617,6.520751,3.8772712
0.9900825,0.5140896,0.2282564,1.9372125,1.3476789,6.469974,3.8607836
0.9950829,0.5134965,0.23043495,1.9166404,1.3623338,6.4168787,3.842963
1.0000833,0.5128124,0.23264319,1.8956693,1.377335,6.3615193,3.8238344
1.0050838,0.5120369,0.2348822,1.8743033,1.3926896,6.303949,3.803421
1.0100842,0.51117015,0.23715302,1.8525478,1.408404,6.244225,3.7817492
1.0150846,0.5102118,0.23945698,1.8304069,1.424485,6.182406,3.7588468
1.020085,0.50916195,0.24179503,1.8078867,1.440937,6.11855,3.734742
1.0250854,0.5080205,0.24416867,1.784993,1.4577665,6.0527186,3.709466
1.0300858,0.5067874,0.24657875,1.7617317,1.4749758,5.984972,3.6830497
1.0350863,0.5054625,0.24902672,1.738109,1.4925697,5.915367,3.6555238
1.0400866,0.5040461,0.25151348,1.7141324,1.5105493,5.84397,3.626924
1.0450871,0.50253797,0.2540404,1.6898088,1.5289173,5.770837,3.5972815
1.0500875,0.5009384,0.25660843,1.6651465,1.547674,5.6960325,3.5666347
1.0550879,0.49924755,0.2592189,1.6401534,1.5668198,5.61962,3.5350194
1.0600884,0.49746537,0.2618728,1.6148378,1.5863537,5.5416546,3.50247
1.0650887,0.49559212,0.26457113,1.5892086,1.6062737,5.4622016,3.4690266
1.0700892,0.49362826,0.26731506,1.5632763,1.6265775,5.38132,3.434727
1.0750896,0.49157405,0.27010545,1.5370504,1.6472611,5.2990685,3.3996093
1.08009,0.4894297,0.27294344,1.510541,1.6683209,5.2155056,3.3637125
1.0850904,0.4871956,0.27582973,1.4837587,1.6897504,5.130689,3.3270779
1.0900909,0.48487222,0.27876553,1.4567147,1.7115449,5.044676,3.2897449
1.0950912,0.48246014,0.28175133,1.4294214,1.7336956,4.9575205,3.2517529
1.1000917,0.47995985,0.28478822,1.4018904,1.7561959,4.869277,3.2131424
1.105092,0.4773717,0.2878767,1.3741331,1.7790358,4.7799964,3.173954
1.1100925,0.47469652,0.29101753,1.3461633,1.802206,4.6897316,3.1342282
1.1150929,0.4719349,0.29421124,1.3179936,1.8256953,4.5985303,3.0940037
1.1200933,0.46908772,0.29745856,1.2896383,1.8494929,4.5064416,3.0533214
1.1250937,0.46615553,0.30075967,1.2611102,1.8735852,4.4135103,3.0122204
1.1300942,0.4631394,0.30411524,1.2324247,1.8979603,4.3197837,2.9707398
1.1350946,0.4600402,0.30752546,1.2035959,1.9226034,4.2253017,2.9289167
1.140095,0.45685863,0.31099054,1.1746377,1.9474995,4.130107,2.8867903
1.1450955,0.45359588,0.31451073,1.145566,1.9726336,4.0342393,2.8443968
1.1500958,0.450253,0.3180861,1.1163964,1.9979894,3.9377384,2.801773
1.1550963,0.4468311,0.32171667,1.0871441,2.02355,3.8406408,2.758954
1.1600966,0.44333136,0.3254023,1.0578251,2.0492978,3.742982,2.7159734
1.1650971,0.43975496,0.3291429,1.0284553,2.075215,3.6447964,2.6728647
1.1700975,0.43610322,0.33293805,0.9990506,2.1012826,3.5461192,2.62966
1.175098,0.43237746,0.3367877,0.9696277,2.1274824,3.446983,2.5863907
1.1800983,0.42857897,0.3406911,0.94020224,2.153794,3.3474176,2.5430849
1.1850988,0.42470944,0.34464803,0.91079164,2.1801987,3.2474594,2.4997735
1.1900991,0.42077005,0.34865767,0.8814112,2.2066758,3.1471367,2.4564834
1.1950996,0.41676247,0.35271946,0.8520776,2.2332053,3.0464783,2.4132373
1.2001001,0.41268826,0.35683262,0.82280695,2.2597668,2.945518,2.370063
1.2051004,0.4085492,0.3609961,0.7936164,2.286339,2.8442898,2.326983
1.2101009,0.40434682,0.36520916,0.7645211,2.3129025,2.74282,2.284018
1.2151012,0.40008307,0.36947063,0.735538,2.3394358,2.6411471,2.2411919
1.2201017,0.3957597,0.37377948,0.7066827,2.365919,2.5393,2.1985207
1.2251021,0.3913784,0.3781344,0.67796993,2.3923318,2.437314,2.156025
